danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,genre,sub-genre,0
0.608,0.171,7.0,-16.822,1.0,0.0314,0.915,0.188,0.111,0.3,142.827,audio_features,5tN0LIuQDapSFedlYJuG0k,spotify:track:5tN0LIuQDapSFedlYJuG0k,https://api.spotify.com/v1/tracks/5tN0LIuQDapSFedlYJuG0k,https://api.spotify.com/v1/audio-analysis/5tN0LIuQDapSFedlYJuG0k,274081.0,4.0,62,blues,blues,
0.635,0.184,8.0,-10.785,1.0,0.0456,0.665,0.0,0.146,0.177,128.424,audio_features,3hhbDnFUb2bicI2df6VurK,spotify:track:3hhbDnFUb2bicI2df6VurK,https://api.spotify.com/v1/tracks/3hhbDnFUb2bicI2df6VurK,https://api.spotify.com/v1/audio-analysis/3hhbDnFUb2bicI2df6VurK,240200.0,4.0,73,blues,blues,
0.441,0.455,10.0,-14.207,1.0,0.0485,0.62,0.00187,0.135,0.918,160.9,audio_features,2Mr1bGI2E10K7Mt1UJZ6Mw,spotify:track:2Mr1bGI2E10K7Mt1UJZ6Mw,https://api.spotify.com/v1/tracks/2Mr1bGI2E10K7Mt1UJZ6Mw,https://api.spotify.com/v1/audio-analysis/2Mr1bGI2E10K7Mt1UJZ6Mw,152351.0,4.0,61,blues,blues,
0.542,0.588,2.0,-9.268,1.0,0.0665,0.67,0.158,0.241,0.881,113.948,audio_features,3KSchPNSklO5McIqRH3qYX,spotify:track:3KSchPNSklO5McIqRH3qYX,https://api.spotify.com/v1/tracks/3KSchPNSklO5McIqRH3qYX,https://api.spotify.com/v1/audio-analysis/3KSchPNSklO5McIqRH3qYX,238533.0,3.0,54,blues,blues,
0.745,0.436,5.0,-9.617,0.0,0.043,0.597,0.0213,0.61,0.771,114.216,audio_features,5bC6ONDsL88snGN6QasjZH,spotify:track:5bC6ONDsL88snGN6QasjZH,https://api.spotify.com/v1/tracks/5bC6ONDsL88snGN6QasjZH,https://api.spotify.com/v1/audio-analysis/5bC6ONDsL88snGN6QasjZH,188200.0,4.0,61,blues,blues,
0.821,0.376,0.0,-13.622,1.0,0.0487,0.669,1.39e-05,0.106,0.824,119.039,audio_features,7j02rdE5RVtNcNMuLGY5SS,spotify:track:7j02rdE5RVtNcNMuLGY5SS,https://api.spotify.com/v1/tracks/7j02rdE5RVtNcNMuLGY5SS,https://api.spotify.com/v1/audio-analysis/7j02rdE5RVtNcNMuLGY5SS,170000.0,4.0,57,blues,blues,
0.427,0.626,8.0,-11.821,1.0,0.0385,0.0274,0.00395,0.106,0.743,126.877,audio_features,1a2iF9XymafjRk56q7oCxo,spotify:track:1a2iF9XymafjRk56q7oCxo,https://api.spotify.com/v1/tracks/1a2iF9XymafjRk56q7oCxo,https://api.spotify.com/v1/audio-analysis/1a2iF9XymafjRk56q7oCxo,219587.0,4.0,66,blues,blues,
0.56,0.241,4.0,-15.385,0.0,0.0314,0.593,0.195,0.122,0.341,79.537,audio_features,5x7Oxaa9EEIx9nw17CC5yW,spotify:track:5x7Oxaa9EEIx9nw17CC5yW,https://api.spotify.com/v1/tracks/5x7Oxaa9EEIx9nw17CC5yW,https://api.spotify.com/v1/audio-analysis/5x7Oxaa9EEIx9nw17CC5yW,293733.0,4.0,57,blues,blues,
0.294,0.736,7.0,-7.961,0.0,0.151,0.282,0.0418,0.102,0.753,208.576,audio_features,3YGsgJqtIWKjMjZtKLk11Z,spotify:track:3YGsgJqtIWKjMjZtKLk11Z,https://api.spotify.com/v1/tracks/3YGsgJqtIWKjMjZtKLk11Z,https://api.spotify.com/v1/audio-analysis/3YGsgJqtIWKjMjZtKLk11Z,314880.0,3.0,52,blues,blues,
0.598,0.735,2.0,-10.882,1.0,0.0973,0.44,0.000215,0.681,0.615,111.129,audio_features,58PSYdY0GFg0LFb2PxYk4T,spotify:track:58PSYdY0GFg0LFb2PxYk4T,https://api.spotify.com/v1/tracks/58PSYdY0GFg0LFb2PxYk4T,https://api.spotify.com/v1/audio-analysis/58PSYdY0GFg0LFb2PxYk4T,321133.0,3.0,62,blues,blues,
0.673,0.481,9.0,-9.88,1.0,0.0488,0.0764,4e-05,0.127,0.767,117.087,audio_features,4uIHPormmUH31qyjP7CU4d,spotify:track:4uIHPormmUH31qyjP7CU4d,https://api.spotify.com/v1/tracks/4uIHPormmUH31qyjP7CU4d,https://api.spotify.com/v1/audio-analysis/4uIHPormmUH31qyjP7CU4d,178973.0,4.0,56,blues,blues,
0.572,0.348,0.0,-13.454,1.0,0.0294,0.44,0.000721,0.235,0.34,73.304,audio_features,5MTsZG10E0hTvAkdioyPnw,spotify:track:5MTsZG10E0hTvAkdioyPnw,https://api.spotify.com/v1/tracks/5MTsZG10E0hTvAkdioyPnw,https://api.spotify.com/v1/audio-analysis/5MTsZG10E0hTvAkdioyPnw,275267.0,4.0,57,blues,blues,
