danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,genre,sub-genre
0.658,0.453,7,-11.493,1,0.0309,0.808,0.000171,0.356,0.658,103.544,audio_features,24ffbrdPfiSHK1SqvIX7DT,spotify:track:24ffbrdPfiSHK1SqvIX7DT,https://api.spotify.com/v1/tracks/24ffbrdPfiSHK1SqvIX7DT,https://api.spotify.com/v1/audio-analysis/24ffbrdPfiSHK1SqvIX7DT,156067,4,32,country,country
0.594,0.382,7,-5.432,1,0.0292,0.416,0.0,0.117,0.223,110.237,audio_features,7lNmcW2wW6ciV9Rhh8YOMe,spotify:track:7lNmcW2wW6ciV9Rhh8YOMe,https://api.spotify.com/v1/tracks/7lNmcW2wW6ciV9Rhh8YOMe,https://api.spotify.com/v1/audio-analysis/7lNmcW2wW6ciV9Rhh8YOMe,254258,4,70,country,country
0.614,0.68,6,-4.58,1,0.0289,0.369,1.84e-06,0.115,0.707,149.959,audio_features,6foY66mWZN0pSRjZ408c00,spotify:track:6foY66mWZN0pSRjZ408c00,https://api.spotify.com/v1/tracks/6foY66mWZN0pSRjZ408c00,https://api.spotify.com/v1/audio-analysis/6foY66mWZN0pSRjZ408c00,234347,4,81,country,country
0.729,0.688,3,-7.468,1,0.0264,0.127,9.44e-06,0.295,0.671,123.867,audio_features,1TanmIWbaUj5NVwJ3k4XPd,spotify:track:1TanmIWbaUj5NVwJ3k4XPd,https://api.spotify.com/v1/tracks/1TanmIWbaUj5NVwJ3k4XPd,https://api.spotify.com/v1/audio-analysis/1TanmIWbaUj5NVwJ3k4XPd,219600,4,67,country,country
0.713,0.768,2,-6.702,1,0.0363,0.22,0.0,0.177,0.878,125.203,audio_features,07KYRDFf8Q6sqj4PWCP9vh,spotify:track:07KYRDFf8Q6sqj4PWCP9vh,https://api.spotify.com/v1/tracks/07KYRDFf8Q6sqj4PWCP9vh,https://api.spotify.com/v1/audio-analysis/07KYRDFf8Q6sqj4PWCP9vh,230267,4,64,country,country
0.585,0.793,7,-3.713,1,0.0322,0.351,0.0,0.3,0.732,133.839,audio_features,18BajNiyvH6GpYshB0unrm,spotify:track:18BajNiyvH6GpYshB0unrm,https://api.spotify.com/v1/tracks/18BajNiyvH6GpYshB0unrm,https://api.spotify.com/v1/audio-analysis/18BajNiyvH6GpYshB0unrm,208413,4,71,country,country
0.643,0.79,4,-6.079,1,0.0461,0.29,0.0,0.107,0.808,95.981,audio_features,6uyiyatWPCqC59Mm4rO8xL,spotify:track:6uyiyatWPCqC59Mm4rO8xL,https://api.spotify.com/v1/tracks/6uyiyatWPCqC59Mm4rO8xL,https://api.spotify.com/v1/audio-analysis/6uyiyatWPCqC59Mm4rO8xL,188893,4,72,country,country
0.551,0.801,6,-5.069,1,0.0303,0.013,6.03e-06,0.265,0.625,128.027,audio_features,1mMLMZYXkMueg65jRRWG1l,spotify:track:1mMLMZYXkMueg65jRRWG1l,https://api.spotify.com/v1/tracks/1mMLMZYXkMueg65jRRWG1l,https://api.spotify.com/v1/audio-analysis/1mMLMZYXkMueg65jRRWG1l,240760,4,79,country,country
0.611,0.688,2,-6.369,1,0.0529,0.251,2.35e-06,0.248,0.649,169.895,audio_features,39FwE8edwuyiaa4PrGBkP7,spotify:track:39FwE8edwuyiaa4PrGBkP7,https://api.spotify.com/v1/tracks/39FwE8edwuyiaa4PrGBkP7,https://api.spotify.com/v1/audio-analysis/39FwE8edwuyiaa4PrGBkP7,288760,4,65,country,country
0.544,0.404,3,-8.751,1,0.0354,0.391,3.98e-06,0.157,0.251,129.518,audio_features,7CNd7rjfVt74TFlcOcnZgN,spotify:track:7CNd7rjfVt74TFlcOcnZgN,https://api.spotify.com/v1/tracks/7CNd7rjfVt74TFlcOcnZgN,https://api.spotify.com/v1/audio-analysis/7CNd7rjfVt74TFlcOcnZgN,290680,4,70,country,country
0.568,0.621,11,-6.395,1,0.0261,0.356,0.000577,0.274,0.346,136.094,audio_features,4qjmnM1aYvayCTDd0uuRKH,spotify:track:4qjmnM1aYvayCTDd0uuRKH,https://api.spotify.com/v1/tracks/4qjmnM1aYvayCTDd0uuRKH,https://api.spotify.com/v1/audio-analysis/4qjmnM1aYvayCTDd0uuRKH,176227,4,66,country,country
0.62,0.869,6,-5.479,1,0.0462,0.615,0.0,0.131,0.597,126.019,audio_features,5OELUCYgOHKFAvCERnAvfS,spotify:track:5OELUCYgOHKFAvCERnAvfS,https://api.spotify.com/v1/tracks/5OELUCYgOHKFAvCERnAvfS,https://api.spotify.com/v1/audio-analysis/5OELUCYgOHKFAvCERnAvfS,216573,4,78,country,country
0.717,0.85,10,-5.329,1,0.0473,0.368,0.0,0.0495,0.805,119.005,audio_features,7E2DqvnVtbIrFrL5X6YH9Q,spotify:track:7E2DqvnVtbIrFrL5X6YH9Q,https://api.spotify.com/v1/tracks/7E2DqvnVtbIrFrL5X6YH9Q,https://api.spotify.com/v1/audio-analysis/7E2DqvnVtbIrFrL5X6YH9Q,204000,4,67,country,country
0.677,0.776,5,-5.933,1,0.0386,0.42,0.000689,0.0954,0.642,121.834,audio_features,2p07VcUwRZ5sru3mJ0JogS,spotify:track:2p07VcUwRZ5sru3mJ0JogS,https://api.spotify.com/v1/tracks/2p07VcUwRZ5sru3mJ0JogS,https://api.spotify.com/v1/audio-analysis/2p07VcUwRZ5sru3mJ0JogS,192800,4,67,country,country
0.656,0.817,11,-4.296,0,0.0435,0.22,0.0,0.304,0.862,130.448,audio_features,7Fq9RwQxSn3kW85PrDUf0M,spotify:track:7Fq9RwQxSn3kW85PrDUf0M,https://api.spotify.com/v1/tracks/7Fq9RwQxSn3kW85PrDUf0M,https://api.spotify.com/v1/audio-analysis/7Fq9RwQxSn3kW85PrDUf0M,198227,4,70,country,country
0.52,0.333,2,-11.508,1,0.0302,0.816,0.0,0.188,0.198,74.165,audio_features,6iblnklMzUKIXAtjk5lzIy,spotify:track:6iblnklMzUKIXAtjk5lzIy,https://api.spotify.com/v1/tracks/6iblnklMzUKIXAtjk5lzIy,https://api.spotify.com/v1/audio-analysis/6iblnklMzUKIXAtjk5lzIy,259893,4,63,country,country
0.674,0.646,5,-5.876,1,0.027,0.486,8.37e-05,0.262,0.613,148.1,audio_features,1qHRFZE8qykNXYZadzmi1m,spotify:track:1qHRFZE8qykNXYZadzmi1m,https://api.spotify.com/v1/tracks/1qHRFZE8qykNXYZadzmi1m,https://api.spotify.com/v1/audio-analysis/1qHRFZE8qykNXYZadzmi1m,209320,4,66,country,country
0.558,0.818,8,-4.07,1,0.0403,0.071,0.0,0.21,0.453,81.034,audio_features,0iA1unTbTbDOWUSlbwJ1pS,spotify:track:0iA1unTbTbDOWUSlbwJ1pS,https://api.spotify.com/v1/tracks/0iA1unTbTbDOWUSlbwJ1pS,https://api.spotify.com/v1/audio-analysis/0iA1unTbTbDOWUSlbwJ1pS,184507,4,63,country,country
0.608,0.745,1,-4.13,1,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025,audio_features,48UKTR66uUOT9LaUvooTNx,spotify:track:48UKTR66uUOT9LaUvooTNx,https://api.spotify.com/v1/tracks/48UKTR66uUOT9LaUvooTNx,https://api.spotify.com/v1/audio-analysis/48UKTR66uUOT9LaUvooTNx,224427,4,79,country,country
0.466,0.786,0,-5.13,1,0.0328,0.417,6.1e-05,0.125,0.571,203.903,audio_features,4obHzpwGrjoTuZh2DItEMZ,spotify:track:4obHzpwGrjoTuZh2DItEMZ,https://api.spotify.com/v1/tracks/4obHzpwGrjoTuZh2DItEMZ,https://api.spotify.com/v1/audio-analysis/4obHzpwGrjoTuZh2DItEMZ,210507,4,75,country,country
0.596,0.834,9,-4.308,1,0.0474,0.0563,0.0,0.0866,0.618,116.0,audio_features,0w3Q14i073jLoew1hgJkwD,spotify:track:0w3Q14i073jLoew1hgJkwD,https://api.spotify.com/v1/tracks/0w3Q14i073jLoew1hgJkwD,https://api.spotify.com/v1/audio-analysis/0w3Q14i073jLoew1hgJkwD,205200,4,72,country,country
0.523,0.501,1,-9.276,1,0.0366,0.459,0.0,0.0818,0.391,158.179,audio_features,1S4fpfX2u0hzFD9vb6FEB6,spotify:track:1S4fpfX2u0hzFD9vb6FEB6,https://api.spotify.com/v1/tracks/1S4fpfX2u0hzFD9vb6FEB6,https://api.spotify.com/v1/audio-analysis/1S4fpfX2u0hzFD9vb6FEB6,201267,4,62,country,country
0.535,0.56,4,-6.586,1,0.0901,0.287,0.0,0.209,0.785,164.17,audio_features,4YKAOXyqkKZ5gOZR0AmVMN,spotify:track:4YKAOXyqkKZ5gOZR0AmVMN,https://api.spotify.com/v1/tracks/4YKAOXyqkKZ5gOZR0AmVMN,https://api.spotify.com/v1/audio-analysis/4YKAOXyqkKZ5gOZR0AmVMN,223387,4,64,country,country
0.652,0.719,1,-7.251,1,0.033,0.0353,0.0,0.108,0.24,94.969,audio_features,3izNaTiYdotdPL0Bs76JqO,spotify:track:3izNaTiYdotdPL0Bs76JqO,https://api.spotify.com/v1/tracks/3izNaTiYdotdPL0Bs76JqO,https://api.spotify.com/v1/audio-analysis/3izNaTiYdotdPL0Bs76JqO,197640,4,66,country,country
0.538,0.863,1,-4.483,1,0.0481,0.0139,0.0,0.0874,0.637,77.001,audio_features,7aEtlGHoiPAfRB084NiDmx,spotify:track:7aEtlGHoiPAfRB084NiDmx,https://api.spotify.com/v1/tracks/7aEtlGHoiPAfRB084NiDmx,https://api.spotify.com/v1/audio-analysis/7aEtlGHoiPAfRB084NiDmx,186733,4,77,country,country
0.638,0.722,9,-6.177,1,0.0332,0.0119,0.00808,0.189,0.469,103.017,audio_features,6E9V9TRlVOLjenGjHemzEH,spotify:track:6E9V9TRlVOLjenGjHemzEH,https://api.spotify.com/v1/tracks/6E9V9TRlVOLjenGjHemzEH,https://api.spotify.com/v1/audio-analysis/6E9V9TRlVOLjenGjHemzEH,224293,4,68,country,country
0.603,0.807,7,-6.999,1,0.045,0.0123,0.0,0.539,0.685,124.099,audio_features,4aGG4VOWGv9RwlYQNsBrkE,spotify:track:4aGG4VOWGv9RwlYQNsBrkE,https://api.spotify.com/v1/tracks/4aGG4VOWGv9RwlYQNsBrkE,https://api.spotify.com/v1/audio-analysis/4aGG4VOWGv9RwlYQNsBrkE,160991,4,65,country,country
