danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,genre,sub-genre,0
0.614,0.837,2.0,-6.504,1.0,0.0397,0.0266,0.0631,0.136,0.0524,122.958,audio_features,1cVOEbvsf7N9Su4kZXFcYB,spotify:track:1cVOEbvsf7N9Su4kZXFcYB,https://api.spotify.com/v1/tracks/1cVOEbvsf7N9Su4kZXFcYB,https://api.spotify.com/v1/audio-analysis/1cVOEbvsf7N9Su4kZXFcYB,239737.0,4.0,56,edm ,edm,
0.331,0.937,0.0,-3.607,0.0,0.0827,0.112,0.0201,0.0789,0.122,101.563,audio_features,7d4vcqHz2rjPQooXa0CZM3,spotify:track:7d4vcqHz2rjPQooXa0CZM3,https://api.spotify.com/v1/tracks/7d4vcqHz2rjPQooXa0CZM3,https://api.spotify.com/v1/audio-analysis/7d4vcqHz2rjPQooXa0CZM3,167111.0,3.0,67,edm ,edm,
0.51,0.849,10.0,-5.41,0.0,0.0697,0.0623,0.0,0.104,0.318,124.954,audio_features,1OlNRQFvFyg0Hq0dAOju70,spotify:track:1OlNRQFvFyg0Hq0dAOju70,https://api.spotify.com/v1/tracks/1OlNRQFvFyg0Hq0dAOju70,https://api.spotify.com/v1/audio-analysis/1OlNRQFvFyg0Hq0dAOju70,210240.0,4.0,57,edm ,edm,
0.874,0.888,8.0,-5.842,0.0,0.073,6.99e-05,0.0145,0.157,0.857,128.017,audio_features,5b97lA5UaQeoj9Pj585Ouo,spotify:track:5b97lA5UaQeoj9Pj585Ouo,https://api.spotify.com/v1/tracks/5b97lA5UaQeoj9Pj585Ouo,https://api.spotify.com/v1/audio-analysis/5b97lA5UaQeoj9Pj585Ouo,241875.0,4.0,47,edm ,edm,
0.754,0.763,7.0,-4.627,0.0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953,audio_features,18asYwWugKjjsihZ0YvRxO,spotify:track:18asYwWugKjjsihZ0YvRxO,https://api.spotify.com/v1/tracks/18asYwWugKjjsihZ0YvRxO,https://api.spotify.com/v1/audio-analysis/18asYwWugKjjsihZ0YvRxO,164819.0,4.0,85,edm ,edm,
0.694,0.7,0.0,-5.53,0.0,0.0488,0.191,0.0,0.0719,0.261,127.965,audio_features,76A1RRDEyHKtmV3Vh6PeVN,spotify:track:76A1RRDEyHKtmV3Vh6PeVN,https://api.spotify.com/v1/tracks/76A1RRDEyHKtmV3Vh6PeVN,https://api.spotify.com/v1/audio-analysis/76A1RRDEyHKtmV3Vh6PeVN,167500.0,4.0,71,edm ,edm,
0.67,0.73,7.0,-4.677,1.0,0.145,0.0742,0.00104,0.145,0.367,123.978,audio_features,19awxNpyrGWGkM6wT6ULEi,spotify:track:19awxNpyrGWGkM6wT6ULEi,https://api.spotify.com/v1/tracks/19awxNpyrGWGkM6wT6ULEi,https://api.spotify.com/v1/audio-analysis/19awxNpyrGWGkM6wT6ULEi,216774.0,4.0,60,edm ,edm,
0.693,0.725,5.0,-6.318,0.0,0.0439,0.0628,0.00785,0.157,0.379,125.068,audio_features,0lqgo6rIBS0nVsvppZC3Ay,spotify:track:0lqgo6rIBS0nVsvppZC3Ay,https://api.spotify.com/v1/tracks/0lqgo6rIBS0nVsvppZC3Ay,https://api.spotify.com/v1/audio-analysis/0lqgo6rIBS0nVsvppZC3Ay,190560.0,4.0,65,edm ,edm,
0.623,0.727,11.0,-5.57,0.0,0.0562,0.184,2.02e-05,0.309,0.4,125.975,audio_features,3kcKlOkQQEPVwxwljbGJ5p,spotify:track:3kcKlOkQQEPVwxwljbGJ5p,https://api.spotify.com/v1/tracks/3kcKlOkQQEPVwxwljbGJ5p,https://api.spotify.com/v1/audio-analysis/3kcKlOkQQEPVwxwljbGJ5p,165800.0,4.0,80,edm ,edm,
0.548,0.936,2.0,-4.164,1.0,0.0481,0.00547,0.0678,0.105,0.257,125.974,audio_features,5B9HpTPTixssrDSFYE35l7,spotify:track:5B9HpTPTixssrDSFYE35l7,https://api.spotify.com/v1/tracks/5B9HpTPTixssrDSFYE35l7,https://api.spotify.com/v1/audio-analysis/5B9HpTPTixssrDSFYE35l7,161194.0,4.0,42,edm ,edm,
0.621,0.989,10.0,-4.225,0.0,0.0434,0.015,0.357,0.184,0.0348,126.002,audio_features,2prnn41CblB8B4yWACDljP,spotify:track:2prnn41CblB8B4yWACDljP,https://api.spotify.com/v1/tracks/2prnn41CblB8B4yWACDljP,https://api.spotify.com/v1/audio-analysis/2prnn41CblB8B4yWACDljP,158095.0,4.0,80,edm ,edm,
0.796,0.894,0.0,-1.883,1.0,0.0502,0.000671,0.859,0.0685,0.619,127.009,audio_features,2YUVIkvZ2tPEZYTepX6oT9,spotify:track:2YUVIkvZ2tPEZYTepX6oT9,https://api.spotify.com/v1/tracks/2YUVIkvZ2tPEZYTepX6oT9,https://api.spotify.com/v1/audio-analysis/2YUVIkvZ2tPEZYTepX6oT9,201260.0,4.0,64,edm ,edm,
0.632,0.595,8.0,-7.644,0.0,0.0401,0.0689,0.0,0.209,0.435,124.114,audio_features,6ft4hAq6yde8jPZY2i5zLr,spotify:track:6ft4hAq6yde8jPZY2i5zLr,https://api.spotify.com/v1/tracks/6ft4hAq6yde8jPZY2i5zLr,https://api.spotify.com/v1/audio-analysis/6ft4hAq6yde8jPZY2i5zLr,167903.0,4.0,78,edm ,edm,
0.352,0.666,1.0,-4.909,1.0,0.0512,0.117,1.81e-06,0.0934,0.227,169.965,audio_features,5zviMoAeuerK1Rd58qXASv,spotify:track:5zviMoAeuerK1Rd58qXASv,https://api.spotify.com/v1/tracks/5zviMoAeuerK1Rd58qXASv,https://api.spotify.com/v1/audio-analysis/5zviMoAeuerK1Rd58qXASv,244235.0,4.0,67,edm ,edm,
0.628,0.967,8.0,-2.43,1.0,0.0538,0.0217,0.00157,0.336,0.349,125.982,audio_features,5vlzH0ps6WDyb158oFTAb3,spotify:track:5vlzH0ps6WDyb158oFTAb3,https://api.spotify.com/v1/tracks/5vlzH0ps6WDyb158oFTAb3,https://api.spotify.com/v1/audio-analysis/5vlzH0ps6WDyb158oFTAb3,186689.0,4.0,77,edm ,edm,
0.66,0.942,4.0,-2.273,1.0,0.185,0.00789,1.76e-05,0.834,0.543,126.017,audio_features,2yEHX6MqAXPyD7bm47A2Br,spotify:track:2yEHX6MqAXPyD7bm47A2Br,https://api.spotify.com/v1/tracks/2yEHX6MqAXPyD7bm47A2Br,https://api.spotify.com/v1/audio-analysis/2yEHX6MqAXPyD7bm47A2Br,158571.0,4.0,76,edm ,edm,
0.621,0.747,11.0,-5.084,1.0,0.0337,0.222,0.000194,0.147,0.426,124.015,audio_features,3LEgGAl9zLcQWGTp7ptqtQ,spotify:track:3LEgGAl9zLcQWGTp7ptqtQ,https://api.spotify.com/v1/tracks/3LEgGAl9zLcQWGTp7ptqtQ,https://api.spotify.com/v1/audio-analysis/3LEgGAl9zLcQWGTp7ptqtQ,188894.0,4.0,75,edm ,edm,
0.302,0.8,11.0,-4.032,1.0,0.0376,0.00596,5.16e-05,0.142,0.328,149.939,audio_features,6YtUe8dzZ357QD4t56nG00,spotify:track:6YtUe8dzZ357QD4t56nG00,https://api.spotify.com/v1/tracks/6YtUe8dzZ357QD4t56nG00,https://api.spotify.com/v1/audio-analysis/6YtUe8dzZ357QD4t56nG00,214492.0,4.0,65,edm ,edm,
0.561,0.928,6.0,-5.812,0.0,0.0371,0.087,0.894,0.332,0.182,125.988,audio_features,7jrMFjEq0t09f7m3HnnWXl,spotify:track:7jrMFjEq0t09f7m3HnnWXl,https://api.spotify.com/v1/tracks/7jrMFjEq0t09f7m3HnnWXl,https://api.spotify.com/v1/audio-analysis/7jrMFjEq0t09f7m3HnnWXl,171429.0,4.0,75,edm ,edm,
0.539,0.715,11.0,-6.639,0.0,0.0595,0.0265,0.0,0.609,0.489,123.854,audio_features,46nvQpUDsxpS08UTFOeKTA,spotify:track:46nvQpUDsxpS08UTFOeKTA,https://api.spotify.com/v1/tracks/46nvQpUDsxpS08UTFOeKTA,https://api.spotify.com/v1/audio-analysis/46nvQpUDsxpS08UTFOeKTA,165524.0,4.0,75,edm ,edm,
0.609,0.801,1.0,-8.483,0.0,0.0694,0.0246,0.00255,0.37,0.202,122.958,audio_features,4xbXuRfZ2ZLktw5QEdGYnX,spotify:track:4xbXuRfZ2ZLktw5QEdGYnX,https://api.spotify.com/v1/tracks/4xbXuRfZ2ZLktw5QEdGYnX,https://api.spotify.com/v1/audio-analysis/4xbXuRfZ2ZLktw5QEdGYnX,190217.0,4.0,72,edm ,edm,
0.923,0.531,11.0,-7.525,0.0,0.0481,0.64,0.0174,0.121,0.858,119.985,audio_features,7KoUk2BFyV8HkocdHMUNTw,spotify:track:7KoUk2BFyV8HkocdHMUNTw,https://api.spotify.com/v1/tracks/7KoUk2BFyV8HkocdHMUNTw,https://api.spotify.com/v1/audio-analysis/7KoUk2BFyV8HkocdHMUNTw,155098.0,4.0,70,edm ,edm,
0.783,0.762,6.0,-4.727,1.0,0.0507,0.158,6.56e-05,0.092,0.33,127.993,audio_features,1zOOl8f7qkjj0AmvlCfLyQ,spotify:track:1zOOl8f7qkjj0AmvlCfLyQ,https://api.spotify.com/v1/tracks/1zOOl8f7qkjj0AmvlCfLyQ,https://api.spotify.com/v1/audio-analysis/1zOOl8f7qkjj0AmvlCfLyQ,189288.0,4.0,69,edm ,edm,
0.859,0.558,7.0,-8.991,0.0,0.0902,0.659,0.324,0.124,0.357,114.978,audio_features,4ga4WvRNhMsIL38pkBbnIN,spotify:track:4ga4WvRNhMsIL38pkBbnIN,https://api.spotify.com/v1/tracks/4ga4WvRNhMsIL38pkBbnIN,https://api.spotify.com/v1/audio-analysis/4ga4WvRNhMsIL38pkBbnIN,144391.0,4.0,69,edm ,edm,
0.71,0.63,2.0,-7.003,1.0,0.0413,0.00879,0.147,0.058,0.216,125.0,audio_features,48Jf12YHPBCAfAzi255Rvr,spotify:track:48Jf12YHPBCAfAzi255Rvr,https://api.spotify.com/v1/tracks/48Jf12YHPBCAfAzi255Rvr,https://api.spotify.com/v1/audio-analysis/48Jf12YHPBCAfAzi255Rvr,242880.0,4.0,69,edm ,edm,
0.654,0.873,4.0,-6.125,0.0,0.0338,0.0536,0.000991,0.36,0.415,124.006,audio_features,0rxEsBxxil046ZqipaCXle,spotify:track:0rxEsBxxil046ZqipaCXle,https://api.spotify.com/v1/tracks/0rxEsBxxil046ZqipaCXle,https://api.spotify.com/v1/audio-analysis/0rxEsBxxil046ZqipaCXle,154839.0,4.0,69,edm ,edm,
0.6,0.722,1.0,-4.865,0.0,0.0438,0.169,0.00017,0.288,0.388,96.957,audio_features,6C0H8ts9M6deezz0yYR6LK,spotify:track:6C0H8ts9M6deezz0yYR6LK,https://api.spotify.com/v1/tracks/6C0H8ts9M6deezz0yYR6LK,https://api.spotify.com/v1/audio-analysis/6C0H8ts9M6deezz0yYR6LK,267960.0,4.0,69,edm ,edm,
0.596,0.743,6.0,-4.149,1.0,0.0302,0.0696,2.37e-06,0.202,0.531,125.883,audio_features,3wfNiPBrzDwuanE75Ar6pS,spotify:track:3wfNiPBrzDwuanE75Ar6pS,https://api.spotify.com/v1/tracks/3wfNiPBrzDwuanE75Ar6pS,https://api.spotify.com/v1/audio-analysis/3wfNiPBrzDwuanE75Ar6pS,158807.0,4.0,67,edm ,edm,
0.539,0.955,4.0,-4.877,0.0,0.0755,0.00219,0.0286,0.205,0.158,127.863,audio_features,4HjLBWJ7AKZQcmupi1NSM5,spotify:track:4HjLBWJ7AKZQcmupi1NSM5,https://api.spotify.com/v1/tracks/4HjLBWJ7AKZQcmupi1NSM5,https://api.spotify.com/v1/audio-analysis/4HjLBWJ7AKZQcmupi1NSM5,170859.0,4.0,67,edm ,edm,
