danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,genre,sub-genre
0.79,0.735,10,-4.2,1,0.205,0.0446,0.0,0.646,0.44,126.086,audio_features,4gg5pEGbpFOJEMiZ0AnCkt,spotify:track:4gg5pEGbpFOJEMiZ0AnCkt,https://api.spotify.com/v1/tracks/4gg5pEGbpFOJEMiZ0AnCkt,https://api.spotify.com/v1/audio-analysis/4gg5pEGbpFOJEMiZ0AnCkt,148566,4,0,rock,rock
0.514,0.785,11,-7.497,0,0.0274,0.0254,0.000147,0.141,0.782,128.925,audio_features,2F127e5d2q4wpjC6zDY4un,spotify:track:2F127e5d2q4wpjC6zDY4un,https://api.spotify.com/v1/tracks/2F127e5d2q4wpjC6zDY4un,https://api.spotify.com/v1/audio-analysis/2F127e5d2q4wpjC6zDY4un,211600,4,0,rock,rock
0.556,0.641,2,-7.605,1,0.029,0.0421,0.0202,0.12,0.877,140.059,audio_features,6KoRzGKuAAZu9tz7IPvbha,spotify:track:6KoRzGKuAAZu9tz7IPvbha,https://api.spotify.com/v1/tracks/6KoRzGKuAAZu9tz7IPvbha,https://api.spotify.com/v1/audio-analysis/6KoRzGKuAAZu9tz7IPvbha,150857,4,18,rock,rock
0.531,0.533,4,-4.817,0,0.0326,0.00499,0.202,0.0676,0.757,168.169,audio_features,1iQYdLTsqSs5Os11DVhAJC,spotify:track:1iQYdLTsqSs5Os11DVhAJC,https://api.spotify.com/v1/tracks/1iQYdLTsqSs5Os11DVhAJC,https://api.spotify.com/v1/audio-analysis/1iQYdLTsqSs5Os11DVhAJC,243081,3,25,rock,rock
0.89,0.364,0,-12.101,1,0.128,0.125,4e-05,0.0783,0.511,121.922,audio_features,4YRhsInZ5nzwrFiL6aMVty,spotify:track:4YRhsInZ5nzwrFiL6aMVty,https://api.spotify.com/v1/tracks/4YRhsInZ5nzwrFiL6aMVty,https://api.spotify.com/v1/audio-analysis/4YRhsInZ5nzwrFiL6aMVty,174000,4,49,rock,rock
0.562,0.91,1,-7.845,0,0.0463,0.0125,0.571,0.088,0.169,122.022,audio_features,4kqmIRRvUyzm5daFoa5yjI,spotify:track:4kqmIRRvUyzm5daFoa5yjI,https://api.spotify.com/v1/tracks/4kqmIRRvUyzm5daFoa5yjI,https://api.spotify.com/v1/audio-analysis/4kqmIRRvUyzm5daFoa5yjI,387731,4,34,rock,rock
0.717,0.558,5,-7.245,0,0.0393,0.663,0.000757,0.11,0.521,77.004,audio_features,3pdOhMldig6caMzOpJ7q0p,spotify:track:3pdOhMldig6caMzOpJ7q0p,https://api.spotify.com/v1/tracks/3pdOhMldig6caMzOpJ7q0p,https://api.spotify.com/v1/audio-analysis/3pdOhMldig6caMzOpJ7q0p,151125,4,33,rock,rock
0.59,0.694,2,-8.123,1,0.108,0.0195,0.0334,0.112,0.565,140.016,audio_features,43SIM8xbuEtMMcs7fzCORs,spotify:track:43SIM8xbuEtMMcs7fzCORs,https://api.spotify.com/v1/tracks/43SIM8xbuEtMMcs7fzCORs,https://api.spotify.com/v1/audio-analysis/43SIM8xbuEtMMcs7fzCORs,195643,4,23,rock,rock
0.776,0.779,11,-6.758,1,0.0933,0.354,0.0,0.122,0.747,113.96,audio_features,2EA4XgRO0tTu5h5nAR1QjK,spotify:track:2EA4XgRO0tTu5h5nAR1QjK,https://api.spotify.com/v1/tracks/2EA4XgRO0tTu5h5nAR1QjK,https://api.spotify.com/v1/audio-analysis/2EA4XgRO0tTu5h5nAR1QjK,225789,4,24,rock,rock
0.55,0.549,2,-9.917,1,0.0277,0.259,0.0,0.187,0.601,156.049,audio_features,7zQBy3XPGrfUmf4gL8BWxL,spotify:track:7zQBy3XPGrfUmf4gL8BWxL,https://api.spotify.com/v1/tracks/7zQBy3XPGrfUmf4gL8BWxL,https://api.spotify.com/v1/audio-analysis/7zQBy3XPGrfUmf4gL8BWxL,199838,4,41,rock,rock
