danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,popularity,genre,sub-genre
0.506,0.775,0.0,-10.266,1.0,0.062,0.0195,0.0,0.615,0.51,158.018,6UyP0sBMNgB0KM5Y18OslB,185559.0,4.0,45,pop,pop dance
0.558,0.861,7.0,-3.494,0.0,0.0441,0.0203,1.18e-06,0.307,0.724,165.987,4WISjfWw6mevJU8mnEF1tg,208938.0,4.0,49,pop,pop dance
0.728,0.442,11.0,-6.044,1.0,0.0438,0.748,1.25e-06,0.226,0.312,119.972,6TF1YmOChd9ZdydTd1XTs6,226325.0,4.0,42,pop,pop dance
0.645,0.614,2.0,-8.044,0.0,0.0719,0.0976,0.0,0.0864,0.615,134.961,73AHIYhwOxaPPW1FdG2Ngf,131556.0,4.0,34,pop,pop dance
0.743,0.723,4.0,-6.647,1.0,0.0398,0.087,0.0117,0.299,0.416,120.023,3p70TAkh1xPKlho3Njvr5g,256000.0,4.0,32,pop,pop dance
0.454,0.523,2.0,-13.279,1.0,0.478,0.0507,0.0,0.144,0.492,50.761,5xCPpRgzXfYRi6ktrpIzXD,170679.0,5.0,37,pop,pop dance
0.598,0.6,7.0,-3.306,1.0,0.0366,0.0458,0.0,0.106,0.368,163.957,4NTSjP71BdY5DfCX9Q3Mnx,224688.0,4.0,39,pop,pop dance
0.685,0.579,10.0,-7.12,1.0,0.0418,0.785,0.0,0.109,0.357,109.885,7EyRuH2SOKHkE8bdWukbPh,197355.0,4.0,43,pop,pop dance
0.61,0.946,3.0,-5.413,0.0,0.457,0.22,0.000257,0.304,0.118,127.999,0CyAQv0k1ldlyu1PXj6p26,187520.0,4.0,26,pop,pop dance
0.976,0.836,6.0,-6.006,1.0,0.0947,0.0421,1.03e-05,0.0633,0.809,123.953,3jpZFzhwdtIn6q0yA6Ba4U,277258.0,4.0,36,pop,pop dance
0.862,0.551,6.0,-11.94,0.0,0.227,0.367,0.000727,0.283,0.687,147.991,7BBguH2ClKKq6uiWPy3seB,207621.0,4.0,30,pop,pop dance
0.614,0.934,9.0,-3.709,0.0,0.07,0.0697,0.0,0.121,0.436,116.001,1KixkQVDUHggZMU9dUobgm,174760.0,4.0,77,pop,pop dance
0.702,0.825,6.0,-3.787,0.0,0.0601,0.00883,0.0,0.0674,0.915,102.977,463CkQjx2Zk1yXoBuierM9,203064.0,4.0,77,pop,pop dance
0.854,0.806,11.0,-8.262,0.0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,20on25jryn53hWghthWWW3,157890.0,4.0,83,pop,pop dance
0.717,0.671,0.0,-5.077,0.0,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,6f5ExP43esnvdKPddwKXJH,160657.0,4.0,81,pop,pop dance
