danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,genre,sub-genre
0.8,0.614,7,-6.255,0,0.0668,0.174,0.000176,0.0849,0.548,135.018,audio_features,2dOUErBzFZJ8l7MbV6FcYW,spotify:track:2dOUErBzFZJ8l7MbV6FcYW,https://api.spotify.com/v1/tracks/2dOUErBzFZJ8l7MbV6FcYW,https://api.spotify.com/v1/audio-analysis/2dOUErBzFZJ8l7MbV6FcYW,230841,4,62,r&b,r&b
0.584,0.453,8,-6.682,1,0.0661,0.753,0.0,0.111,0.328,124.913,audio_features,58cMDjQSUdWJUgFmHxRhjt,spotify:track:58cMDjQSUdWJUgFmHxRhjt,https://api.spotify.com/v1/tracks/58cMDjQSUdWJUgFmHxRhjt,https://api.spotify.com/v1/audio-analysis/58cMDjQSUdWJUgFmHxRhjt,241624,3,61,r&b,r&b
0.62,0.396,1,-15.498,0,0.206,0.735,0.000985,0.0976,0.774,87.865,audio_features,3MlQPB0wJuopo3NTZGlMpI,spotify:track:3MlQPB0wJuopo3NTZGlMpI,https://api.spotify.com/v1/tracks/3MlQPB0wJuopo3NTZGlMpI,https://api.spotify.com/v1/audio-analysis/3MlQPB0wJuopo3NTZGlMpI,201027,4,71,r&b,r&b
0.884,0.658,0,-5.94,1,0.134,0.19,0.00164,0.103,0.502,112.978,audio_features,1xTYy3K3hiTcoZfoD7culn,spotify:track:1xTYy3K3hiTcoZfoD7culn,https://api.spotify.com/v1/tracks/1xTYy3K3hiTcoZfoD7culn,https://api.spotify.com/v1/audio-analysis/1xTYy3K3hiTcoZfoD7culn,196495,4,67,r&b,r&b
0.545,0.768,4,-5.249,0,0.269,0.46,0.0,0.118,0.557,115.052,audio_features,1pJsmr01tzKnFfjeCvzcdc,spotify:track:1pJsmr01tzKnFfjeCvzcdc,https://api.spotify.com/v1/tracks/1pJsmr01tzKnFfjeCvzcdc,https://api.spotify.com/v1/audio-analysis/1pJsmr01tzKnFfjeCvzcdc,219130,4,67,r&b,r&b
0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,audio_features,1xzi1Jcr7mEi9K2RfzLOqS,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,https://api.spotify.com/v1/tracks/1xzi1Jcr7mEi9K2RfzLOqS,https://api.spotify.com/v1/audio-analysis/1xzi1Jcr7mEi9K2RfzLOqS,225389,4,93,r&b,r&b
0.914,0.643,6,-3.862,0,0.134,0.0498,0.0,0.0618,0.764,105.033,audio_features,1DA2ADZs6O28y2rmdmpekw,spotify:track:1DA2ADZs6O28y2rmdmpekw,https://api.spotify.com/v1/tracks/1DA2ADZs6O28y2rmdmpekw,https://api.spotify.com/v1/audio-analysis/1DA2ADZs6O28y2rmdmpekw,187907,4,75,r&b,r&b
0.658,0.644,0,-9.268,0,0.398,0.455,9.71e-06,0.0955,0.37,89.779,audio_features,2z7L8jakEq0POyRdufZCT9,spotify:track:2z7L8jakEq0POyRdufZCT9,https://api.spotify.com/v1/tracks/2z7L8jakEq0POyRdufZCT9,https://api.spotify.com/v1/audio-analysis/2z7L8jakEq0POyRdufZCT9,194067,4,10,r&b,r&b
0.848,0.512,3,-7.72,0,0.102,0.228,0.00232,0.0879,0.572,120.009,audio_features,2wSTnntOPRi7aQneobFtU4,spotify:track:2wSTnntOPRi7aQneobFtU4,https://api.spotify.com/v1/tracks/2wSTnntOPRi7aQneobFtU4,https://api.spotify.com/v1/audio-analysis/2wSTnntOPRi7aQneobFtU4,181840,4,40,r&b,r&b
0.621,0.411,6,-8.261,0,0.0333,0.0553,0.0,0.0816,0.357,110.113,audio_features,4MbzauKV2ydtZZjLsPcuTF,spotify:track:4MbzauKV2ydtZZjLsPcuTF,https://api.spotify.com/v1/tracks/4MbzauKV2ydtZZjLsPcuTF,https://api.spotify.com/v1/audio-analysis/4MbzauKV2ydtZZjLsPcuTF,202520,4,75,r&b,r&b
0.617,0.378,9,-8.54,1,0.0315,0.428,9.16e-05,0.11,0.22,141.967,audio_features,3XgGQ1wjo5khvq2UImjyNF,spotify:track:3XgGQ1wjo5khvq2UImjyNF,https://api.spotify.com/v1/tracks/3XgGQ1wjo5khvq2UImjyNF,https://api.spotify.com/v1/audio-analysis/3XgGQ1wjo5khvq2UImjyNF,216063,4,82,r&b,r&b
0.745,0.622,7,-6.892,0,0.128,0.0992,0.0,0.0832,0.557,140.082,audio_features,3noiPAHonb3coH4jSVM09i,spotify:track:3noiPAHonb3coH4jSVM09i,https://api.spotify.com/v1/tracks/3noiPAHonb3coH4jSVM09i,https://api.spotify.com/v1/audio-analysis/3noiPAHonb3coH4jSVM09i,153365,4,64,r&b,r&b
0.462,0.821,5,-3.678,0,0.243,0.216,0.0,0.137,0.487,79.131,audio_features,6y39UI6gdUexBGprn6pQo6,spotify:track:6y39UI6gdUexBGprn6pQo6,https://api.spotify.com/v1/tracks/6y39UI6gdUexBGprn6pQo6,https://api.spotify.com/v1/audio-analysis/6y39UI6gdUexBGprn6pQo6,205170,4,70,r&b,r&b
0.678,0.729,6,-6.389,1,0.0441,0.00495,2.5e-06,0.019,0.59,77.045,audio_features,0IQ3KOas5wGRregqoMb9HF,spotify:track:0IQ3KOas5wGRregqoMb9HF,https://api.spotify.com/v1/tracks/0IQ3KOas5wGRregqoMb9HF,https://api.spotify.com/v1/audio-analysis/0IQ3KOas5wGRregqoMb9HF,245072,4,60,r&b,r&b
0.542,0.664,1,-4.849,0,0.082,0.0826,0.0,0.131,0.57,63.112,audio_features,0Phy2m1BWmxCB56byt2qvh,spotify:track:0Phy2m1BWmxCB56byt2qvh,https://api.spotify.com/v1/tracks/0Phy2m1BWmxCB56byt2qvh,https://api.spotify.com/v1/audio-analysis/0Phy2m1BWmxCB56byt2qvh,198574,4,59,r&b,r&b
0.667,0.55,7,-8.533,0,0.0702,0.497,0.0,0.111,0.49,107.005,audio_features,5BeLd9BErYOPAsHSFIWK3C,spotify:track:5BeLd9BErYOPAsHSFIWK3C,https://api.spotify.com/v1/tracks/5BeLd9BErYOPAsHSFIWK3C,https://api.spotify.com/v1/audio-analysis/5BeLd9BErYOPAsHSFIWK3C,201587,3,58,r&b,r&b
0.618,0.712,1,-8.246,1,0.114,0.14,4.53e-06,0.575,0.305,97.057,audio_features,6ufcuVInt0ocHrUimDjGlb,spotify:track:6ufcuVInt0ocHrUimDjGlb,https://api.spotify.com/v1/tracks/6ufcuVInt0ocHrUimDjGlb,https://api.spotify.com/v1/audio-analysis/6ufcuVInt0ocHrUimDjGlb,254319,4,73,r&b,r&b
0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,audio_features,4iZ4pt7kvcaH6Yo8UoZ4s2,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/tracks/4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/audio-analysis/4iZ4pt7kvcaH6Yo8UoZ4s2,201800,4,46,r&b,r&b
0.345,0.418,7,-9.453,1,0.0408,0.736,0.0,0.259,0.162,75.592,audio_features,3X7aFBB2ja4QT2XEuxKCIA,spotify:track:3X7aFBB2ja4QT2XEuxKCIA,https://api.spotify.com/v1/tracks/3X7aFBB2ja4QT2XEuxKCIA,https://api.spotify.com/v1/audio-analysis/3X7aFBB2ja4QT2XEuxKCIA,197428,4,63,r&b,r&b
0.836,0.411,6,-9.084,0,0.0325,0.42,0.382,0.0913,0.845,90.876,audio_features,1LPQheJpIsG8rlUkCmZx2D,spotify:track:1LPQheJpIsG8rlUkCmZx2D,https://api.spotify.com/v1/tracks/1LPQheJpIsG8rlUkCmZx2D,https://api.spotify.com/v1/audio-analysis/1LPQheJpIsG8rlUkCmZx2D,297717,4,63,r&b,r&b
0.815,0.606,2,-4.496,0,0.0586,0.543,2.03e-05,0.114,0.484,114.009,audio_features,2lVYLiHGIX6GajMqYXF1Un,spotify:track:2lVYLiHGIX6GajMqYXF1Un,https://api.spotify.com/v1/tracks/2lVYLiHGIX6GajMqYXF1Un,https://api.spotify.com/v1/audio-analysis/2lVYLiHGIX6GajMqYXF1Un,223160,4,66,r&b,r&b
0.399,0.892,2,-4.234,1,0.221,0.125,0.0,0.324,0.642,140.33,audio_features,35fBkyvLRrHKO4edE69LtA,spotify:track:35fBkyvLRrHKO4edE69LtA,https://api.spotify.com/v1/tracks/35fBkyvLRrHKO4edE69LtA,https://api.spotify.com/v1/audio-analysis/35fBkyvLRrHKO4edE69LtA,186494,4,59,r&b,r&b
0.699,0.679,9,-4.528,1,0.0556,0.55,0.0,0.0816,0.56,102.919,audio_features,3K9IrLs25jHtvWjAAFAfav,spotify:track:3K9IrLs25jHtvWjAAFAfav,https://api.spotify.com/v1/tracks/3K9IrLs25jHtvWjAAFAfav,https://api.spotify.com/v1/audio-analysis/3K9IrLs25jHtvWjAAFAfav,160777,4,70,r&b,r&b
0.73,0.634,4,-7.194,0,0.184,0.111,9.63e-06,0.0986,0.777,171.824,audio_features,0SSVi1ND8YAk5XpaHOePoo,spotify:track:0SSVi1ND8YAk5XpaHOePoo,https://api.spotify.com/v1/tracks/0SSVi1ND8YAk5XpaHOePoo,https://api.spotify.com/v1/audio-analysis/0SSVi1ND8YAk5XpaHOePoo,146840,4,59,r&b,r&b
0.649,0.655,10,-5.534,0,0.0652,0.307,0.0,0.22,0.793,92.9,audio_features,2WigMwGJysIh9fRnSJvpjn,spotify:track:2WigMwGJysIh9fRnSJvpjn,https://api.spotify.com/v1/tracks/2WigMwGJysIh9fRnSJvpjn,https://api.spotify.com/v1/audio-analysis/2WigMwGJysIh9fRnSJvpjn,147581,4,85,r&b,r&b
